Level_of_schooling,subtype,Preschool_ind,gender,Late_opening,Healthy_canteen
Schools for Specific Purposes,Medium / High Support needs,N,Coed,N,N
Schools for Specific Purposes,Hospital School,N,Coed,N,N
Schools for Specific Purposes,Debilitated by physical difficulties,N,Coed,N,N
Schools for Specific Purposes,Emotional disturbance,N,Coed,N,N
Schools for Specific Purposes,Medium / High Support needs,N,Coed,N,N
Schools for Specific Purposes,Medium / High Support needs,N,Coed,N,N
Schools for Specific Purposes,Emotional disturbance,N,Coed,N,N
Schools for Specific Purposes,Emotional disturbance,N,Coed,N,N
Schools for Specific Purposes,Hospital School,N,Coed,N,N
Schools for Specific Purposes,Hospital School,N,Coed,N,N
Schools for Specific Purposes,Hospital School,N,Coed,N,N
Schools for Specific Purposes,Hospital School,N,Coed,N,N
Schools for Specific Purposes,Hospital School,N,Coed,N,N
Schools for Specific Purposes,Medium / High Support needs,N,Coed,N,N
Schools for Specific Purposes,Hospital School,N,Coed,N,N
Schools for Specific Purposes,Hospital School,N,Coed,N,N
Schools for Specific Purposes,Hospital School,N,Coed,N,N
Schools for Specific Purposes,Emotional disturbance,N,Coed,N,N
Schools for Specific Purposes,Emotional disturbance,N,Coed,N,Y
Schools for Specific Purposes,Medium / High Support needs,N,Coed,N,N
Schools for Specific Purposes,Medium / High Support needs,N,Coed,N,N
Schools for Specific Purposes,Medium / High Support needs,N,Coed,N,N
Schools for Specific Purposes,Behaviour Disorder,N,Coed,N,N
Schools for Specific Purposes,Behaviour Disorder,N,Coed,N,N
Schools for Specific Purposes,Behaviour Disorder,N,Coed,N,N
Schools for Specific Purposes,Behaviour Disorder,N,Coed,N,N
Schools for Specific Purposes,Behaviour Disorder,N,Coed,N,N
Schools for Specific Purposes,Behaviour Disorder,N,Coed,N,N
Schools for Specific Purposes,Behaviour Disorder,N,Coed,N,N
Schools for Specific Purposes,Behaviour Disorder,N,Coed,N,N
Schools for Specific Purposes,Behaviour Disorder,N,Coed,N,N
Schools for Specific Purposes,Behaviour Disorder,N,Coed,N,N
Schools for Specific Purposes,Behaviour Disorder,N,Coed,N,N
Schools for Specific Purposes,Medium / High Support needs,N,Coed,N,N
Schools for Specific Purposes,Emotional disturbance,N,Coed,N,N
Schools for Specific Purposes,Medium / High Support needs,N,Coed,N,N
Schools for Specific Purposes,Medium / High Support needs,N,Coed,N,N
Schools for Specific Purposes,Medium / High Support needs,N,Coed,N,N
Schools for Specific Purposes,Medium / High Support needs,N,Coed,N,N
Schools for Specific Purposes,Medium / High Support needs,N,Coed,N,N
Schools for Specific Purposes,Medium / High Support needs,N,Coed,N,N
Schools for Specific Purposes,Medium / High Support needs,N,Coed,N,N
Schools for Specific Purposes,Medium / High Support needs,N,Coed,N,N
Schools for Specific Purposes,Medium / High Support needs,N,Coed,N,N
Schools for Specific Purposes,Medium / High Support needs,N,Coed,N,N
Schools for Specific Purposes,Medium / High Support needs,N,Coed,N,N
Schools for Specific Purposes,Medium / High Support needs,N,Coed,N,N
Schools for Specific Purposes,Medium / High Support needs,N,Coed,N,N
Schools for Specific Purposes,Medium / High Support needs,N,Coed,N,N
Schools for Specific Purposes,Medium / High Support needs,N,Coed,N,N
Schools for Specific Purposes,Medium / High Support needs,N,Coed,N,N
Schools for Specific Purposes,Diagnostic remedial reading assesment,N,Coed,N,N
Schools for Specific Purposes,Medium / High Support needs,N,Coed,N,N
Schools for Specific Purposes,Medium / High Support needs,N,Coed,N,N
Schools for Specific Purposes,Emotional disturbance,N,Coed,N,N
Schools for Specific Purposes,Medium / High Support needs,N,Coed,N,N
Schools for Specific Purposes,Medium / High Support needs,N,Coed,N,N
Schools for Specific Purposes,Medium / High Support needs,N,Coed,N,N
Environmental Education Centre,Environmental Education Centre (formerly Field Studies Centres),N,Coed,N,N
Schools for Specific Purposes,Medium / High Support needs,N,Coed,N,N
Schools for Specific Purposes,Medium / High Support needs,N,Coed,N,N
Schools for Specific Purposes,Medium / High Support needs,N,Coed,N,N
Environmental Education Centre,Environmental Education Centre (formerly Field Studies Centres),N,Coed,N,N
Environmental Education Centre,Environmental Education Centre (formerly Field Studies Centres),N,Coed,N,N
Environmental Education Centre,Environmental Education Centre (formerly Field Studies Centres),N,Coed,N,N
Environmental Education Centre,Environmental Education Centre (formerly Field Studies Centres),N,Coed,N,N
Environmental Education Centre,Environmental Education Centre (formerly Field Studies Centres),N,Coed,N,N
Schools for Specific Purposes,Medium / High Support needs,N,Coed,N,N
Schools for Specific Purposes,Medium / High Support needs,N,Coed,N,N
Schools for Specific Purposes,Medium / High Support needs,N,Coed,N,N
Schools for Specific Purposes,Medium / High Support needs,N,Coed,N,N
Schools for Specific Purposes,Medium / High Support needs,N,Coed,N,N
Schools for Specific Purposes,Medium / High Support needs,N,Coed,N,N
Environmental Education Centre,Environmental Education Centre (formerly Field Studies Centres),N,Coed,N,N
Environmental Education Centre,Environmental Education Centre (formerly Field Studies Centres),N,Coed,N,N
Environmental Education Centre,Environmental Education Centre (formerly Field Studies Centres),N,Coed,N,N
Primary School,Kinder to Year 6,N,Coed,N,N
Schools for Specific Purposes,Medium / High Support needs,N,Coed,N,N
Schools for Specific Purposes,Medium / High Support needs,N,Coed,N,N
Schools for Specific Purposes,Medium / High Support needs,N,Coed,N,N
Schools for Specific Purposes,Medium / High Support needs,N,Coed,N,N
Schools for Specific Purposes,Medium / High Support needs,N,Coed,N,N
Schools for Specific Purposes,Juvenile Justice establishment,N,Boys,N,N
Schools for Specific Purposes,Medium / High Support needs,N,Coed,N,N
Schools for Specific Purposes,Medium / High Support needs,N,Coed,N,N
Environmental Education Centre,Environmental Education Centre (formerly Field Studies Centres),N,Coed,N,N
Schools for Specific Purposes,Medium / High Support needs,N,Coed,N,N
Schools for Specific Purposes,Medium / High Support needs,N,Coed,N,N
Schools for Specific Purposes,Medium / High Support needs,N,Coed,N,N
Environmental Education Centre,Environmental Education Centre (formerly Field Studies Centres),N,Coed,N,N
Environmental Education Centre,Environmental Education Centre (formerly Field Studies Centres),N,Coed,Y,N
Environmental Education Centre,Environmental Education Centre (formerly Field Studies Centres),N,Coed,N,N
Schools for Specific Purposes,Behaviour Disorder,N,Coed,N,N
Schools for Specific Purposes,Medium / High Support needs,N,Coed,N,N
Schools for Specific Purposes,Emotional disturbance,N,Coed,N,N
Schools for Specific Purposes,Emotional disturbance,N,Coed,N,N
Environmental Education Centre,Environmental Education Centre (formerly Field Studies Centres),N,Coed,N,N
Environmental Education Centre,Environmental Education Centre (formerly Field Studies Centres),N,Coed,N,N
Environmental Education Centre,Environmental Education Centre (formerly Field Studies Centres),N,Coed,N,N
Schools for Specific Purposes,Emotional disturbance,N,Coed,N,N
Environmental Education Centre,Environmental Education Centre (formerly Field Studies Centres),N,Coed,N,N
Schools for Specific Purposes,Emotional disturbance,N,Coed,N,N
Schools for Specific Purposes,Medium / High Support needs,N,Coed,N,N
Environmental Education Centre,Environmental Education Centre (formerly Field Studies Centres),N,Coed,N,N
Schools for Specific Purposes,Hospital School,N,Coed,N,N
Environmental Education Centre,Environmental Education Centre (formerly Field Studies Centres),N,Coed,N,N
Schools for Specific Purposes,Behaviour Disorder,N,Coed,N,N
Schools for Specific Purposes,Behaviour Disorder,N,Coed,N,N
Schools for Specific Purposes,Emotional disturbance,N,Coed,N,N
Schools for Specific Purposes,Juvenile Justice establishment,N,Coed,N,N
Schools for Specific Purposes,Juvenile Justice establishment,N,Coed,N,N
Schools for Specific Purposes,Behaviour Disorder,N,Coed,N,N
Schools for Specific Purposes,Behaviour Disorder,N,Coed,N,N
Schools for Specific Purposes,Behaviour Disorder,N,Coed,N,N
Schools for Specific Purposes,Behaviour Disorder,N,Coed,N,N
Schools for Specific Purposes,Behaviour Disorder,N,Coed,Y,N
Schools for Specific Purposes,Behaviour Disorder,N,Coed,N,N
Schools for Specific Purposes,Behaviour Disorder,N,Coed,N,N
Schools for Specific Purposes,Medium / High Support needs,N,Coed,N,N
Schools for Specific Purposes,Medium / High Support needs,N,Coed,N,N
Schools for Specific Purposes,Medium / High Support needs,N,Coed,N,N
Schools for Specific Purposes,Medium / High Support needs,N,Coed,N,N
Schools for Specific Purposes,Medium / High Support needs,N,Coed,N,N
Primary School,Kinder to Year 6,N,Coed,N,N
Primary School,Kinder to Year 6,N,Coed,N,N
Primary School,Kinder to Year 6,N,Coed,N,N
Central/Community School,Kinder to Year 12,N,Coed,N,N
Primary School,Kinder to Year 6,N,Coed,N,N
Primary School,Kinder to Year 6,N,Coed,N,N
Primary School,Kinder to Year 6,N,Coed,N,N
Primary School,Kinder to Year 6,N,Coed,N,N
Primary School,Kinder to Year 6,N,Coed,N,N
Primary School,Kinder to Year 6,N,Coed,N,N
Primary School,Kinder to Year 6,N,Coed,N,N
Primary School,Kinder to Year 6,N,Coed,N,N
Primary School,Kinder to Year 6,N,Coed,N,N
Primary School,Kinder to Year 6,N,Coed,N,N
Primary School,Kinder to Year 6,N,Coed,N,N
Primary School,Kinder to Year 6,N,Coed,N,N
Primary School,Kinder to Year 6,N,Coed,N,N
Primary School,Kinder to Year 6,N,Coed,N,N
Primary School,Kinder to Year 6,N,Coed,N,Y
Primary School,Kinder to Year 6,N,Coed,N,Y
Primary School,Kinder to Year 6,N,Coed,N,N
Primary School,Kinder to Year 6,N,Coed,N,N
Primary School,Kinder to Year 6,N,Coed,N,N
Primary School,Kinder to Year 6,N,Coed,N,N
Primary School,Kinder to Year 6,N,Coed,N,N
Primary School,Kinder to Year 6,N,Coed,N,N
Primary School,Kinder to Year 6,N,Coed,N,N
Primary School,Kinder to Year 6,N,Coed,N,N
Primary School,Kinder to Year 6,N,Coed,N,N
Primary School,Kinder to Year 6,N,Coed,N,N
Primary School,Kinder to Year 6,N,Coed,N,N
Primary School,Kinder to Year 6,N,Coed,N,N
Primary School,Kinder to Year 6,Y,Coed,N,N
Primary School,Kinder to Year 6,N,Coed,N,Y
Primary School,Kinder to Year 6,N,Coed,N,N
Primary School,Kinder to Year 6,Y,Coed,N,N
Primary School,Kinder to Year 6,Y,Coed,N,N
Secondary School,Year 7 to Year 12,N,Coed,N,N
Secondary School,Year 7 to Year 12,N,Coed,N,N
Secondary School,Year 7 to Year 12,N,Coed,N,N
Secondary School,Year 7 to Year 12,N,Coed,Y,N
Secondary School,Year 7 to Year 12,N,Boys,N,N
Secondary School,Year 7 to Year 12,N,Coed,N,N
Secondary School,Year 7 to Year 12,N,Coed,N,N
Secondary School,Year 11 to Year 12,N,Coed,N,N
Secondary School,Year 7 to Year 12,N,Boys,N,N
Secondary School,Year 7 to Year 12,N,Coed,N,N
Secondary School,Year 7 to Year 12,N,Coed,N,N
Secondary School,Year 7 to Year 12,N,Coed,N,N
Secondary School,Year 7 to Year 12,N,Coed,N,N
Secondary School,Year 7 to Year 12,N,Coed,Y,N
Secondary School,Year 7 to Year 12,N,Girls,N,N
Secondary School,Year 7 to Year 12,N,Coed,N,N
Secondary School,Year 7 to Year 12,N,Coed,N,N
Secondary School,Year 7 to Year 12,N,Coed,N,N
Secondary School,Year 7 to Year 12,N,Coed,N,N
Secondary School,Year 7 to Year 12,N,Coed,N,N
Secondary School,Year 7 to Year 12,N,Coed,N,N
Secondary School,Year 7 to Year 12,N,Coed,N,N
Secondary School,Year 7 to Year 12,N,Coed,N,N
Secondary School,Year 7 to Year 12,N,Coed,N,N
Secondary School,Year 7 to Year 12,N,Boys,N,N
Secondary School,Year 7 to Year 12,N,Girls,N,N
Secondary School,Year 7 to Year 12,N,Coed,N,N
Secondary School,Year 7 to Year 12,N,Coed,N,N
Secondary School,Year 7 to Year 12,N,Girls,N,N
Secondary School,Year 7 to Year 12,N,Boys,N,N
Secondary School,Year 7 to Year 12,N,Girls,N,N
Secondary School,Year 7 to Year 12,N,Coed,N,N
Secondary School,Year 7 to Year 12,N,Coed,N,N
Secondary School,Year 7 to Year 12,N,Boys,N,N
Secondary School,Year 7 to Year 12,N,Coed,N,N
Secondary School,Year 7 to Year 12,N,Coed,N,N
Secondary School,Year 7 to Year 12,N,Coed,N,N
Secondary School,Year 7 to Year 12,N,Coed,N,N
Secondary School,Year 7 to Year 12,N,Coed,N,N
Secondary School,Year 7 to Year 12,N,Coed,N,N
Secondary School,Year 7 to Year 12,N,Coed,N,N
Secondary School,Year 7 to Year 12,N,Boys,N,N
Secondary School,Year 7 to Year 12,N,Girls,N,N
Secondary School,Year 7 to Year 12,N,Coed,N,N
Secondary School,Year 7 to Year 12,N,Coed,N,N
Secondary School,Year 7 to Year 12,N,Coed,N,N
Secondary School,Year 7 to Year 12,N,Coed,N,N
Secondary School,Year 7 to Year 12,N,Girls,N,N
Secondary School,Year 7 to Year 12,N,Boys,N,N
Secondary School,Year 7 to Year 12,N,Coed,N,N
Secondary School,Year 7 to Year 12,N,Coed,N,N
Secondary School,Year 7 to Year 12,N,Coed,N,N
Secondary School,Year 7 to Year 12,N,Coed,N,N
Secondary School,Year 7 to Year 12,N,Coed,N,N
Secondary School,Year 7 to Year 12,N,Coed,N,N
Secondary School,Year 7 to Year 12,N,Girls,N,N
Secondary School,Year 7 to Year 12,N,Coed,Y,N
Secondary School,Year 7 to Year 12,N,Coed,N,N
Secondary School,Year 7 to Year 12,N,Coed,N,N
Secondary School,Year 7 to Year 12,N,Coed,N,N
Secondary School,Year 7 to Year 12,N,Girls,N,N
Secondary School,Year 7 to Year 12,N,Coed,N,N
Secondary School,Year 7 to Year 12,N,Coed,N,N
Secondary School,Year 7 to Year 12,N,Coed,N,N
Secondary School,Year 7 to Year 12,N,Coed,N,N
Secondary School,Year 7 to Year 12,N,Boys,N,N
Secondary School,Year 7 to Year 12,N,Boys,N,N
Secondary School,Year 7 to Year 12,N,Girls,N,N
Secondary School,Year 7 to Year 12,N,Coed,N,N
Secondary School,Year 7 to Year 12,N,Coed,N,N
Secondary School,Year 7 to Year 12,N,Coed,N,N
Secondary School,Year 7 to Year 12,N,Coed,N,N
Secondary School,Year 7 to Year 12,N,Coed,N,N
Secondary School,Year 7 to Year 12,N,Coed,N,N
Secondary School,Year 7 to Year 12,N,Coed,N,N
Secondary School,Year 7 to Year 12,N,Coed,N,N
Secondary School,Year 7 to Year 12,N,Coed,N,N
Secondary School,Year 7 to Year 12,N,Coed,N,N
Secondary School,Year 7 to Year 12,N,Coed,N,N
Secondary School,Year 7 to Year 12,N,Coed,N,N
Secondary School,Year 7 to Year 12,N,Coed,N,N
Secondary School,Year 7 to Year 12,N,Coed,N,N
Secondary School,Year 7 to Year 12,N,Boys,N,N
Secondary School,Year 7 to Year 12,N,Coed,N,N
Secondary School,Year 7 to Year 12,N,Girls,N,N
Secondary School,Year 7 to Year 12,N,Coed,N,N
Secondary School,Year 7 to Year 12,N,Coed,N,N
Secondary School,Year 7 to Year 12,N,Boys,N,N
Secondary School,Year 7 to Year 12,N,Boys,N,N
Secondary School,Year 7 to Year 12,N,Coed,N,N
Secondary School,Year 7 to Year 12,N,Coed,N,N
Secondary School,Year 7 to Year 12,N,Coed,N,N
Secondary School,Year 7 to Year 12,N,Coed,N,N
Secondary School,Year 7 to Year 12,N,Coed,Y,N
Secondary School,Year 7 to Year 12,N,Coed,N,N
Secondary School,Year 7 to Year 12,N,Girls,N,N
Secondary School,Year 7 to Year 12,N,Coed,N,N
Secondary School,Year 7 to Year 12,N,Girls,N,N
Secondary School,Year 7 to Year 12,N,Coed,N,N
Secondary School,Year 7 to Year 12,N,Girls,N,N
Secondary School,Year 7 to Year 12,N,Coed,N,N
Secondary School,Year 7 to Year 12,N,Coed,N,N
Secondary School,Year 7 to Year 12,N,Coed,N,N
Secondary School,Year 7 to Year 12,N,Coed,N,N
Secondary School,Year 7 to Year 10,N,Coed,N,N
Secondary School,Year 7 to Year 12,N,Coed,N,N
Secondary School,Year 7 to Year 12,N,Coed,N,N
Secondary School,Year 7 to Year 12,N,Coed,N,N
Secondary School,Year 7 to Year 12,N,Coed,N,N
Secondary School,Year 7 to Year 12,N,Coed,N,N
Secondary School,Year 7 to Year 12,N,Girls,N,N
Secondary School,Year 7 to Year 12,N,Girls,N,N
Secondary School,Year 7 to Year 12,N,Boys,N,N
Secondary School,Year 7 to Year 12,N,Boys,N,N
Secondary School,Year 7 to Year 12,N,Coed,N,N
Secondary School,Year 7 to Year 12,N,Coed,N,N
Secondary School,Year 7 to Year 12,N,Coed,N,N
Secondary School,Year 7 to Year 12,N,Coed,N,N
Secondary School,Year 7 to Year 12,N,Coed,N,N
Secondary School,Year 7 to Year 12,N,Girls,N,N
Secondary School,Year 7 to Year 12,N,Girls,N,N
Secondary School,Year 7 to Year 12,N,Girls,N,N
Secondary School,Year 7 to Year 12,N,Coed,N,N
Secondary School,Year 7 to Year 10,N,Coed,N,N
Secondary School,Year 7 to Year 12,N,Coed,N,N
Secondary School,Year 7 to Year 12,N,Coed,N,N
Secondary School,Year 7 to Year 12,N,Coed,N,N
Secondary School,Year 7 to Year 12,N,Coed,N,N
Secondary School,Year 7 to Year 12,N,Coed,N,N
Secondary School,Year 7 to Year 12,N,Coed,N,N
Secondary School,Year 7 to Year 12,N,Coed,N,N
Secondary School,Year 7 to Year 12,N,Coed,N,N
Secondary School,Year 7 to Year 12,N,Coed,Y,N
Central/Community School,Kinder to Year 12,N,Coed,N,N
Secondary School,Year 11 to Year 12,N,Coed,N,N
Secondary School,Year 7 to Year 12,N,Coed,N,N
Secondary School,Year 7 to Year 10,N,Coed,N,N
Secondary School,Year 7 to Year 12,N,Coed,N,N
Secondary School,Year 11 to Year 12,N,Coed,N,N
Central/Community School,Kinder to Year 12,N,Coed,N,N
Secondary School,Year 7 to Year 12,N,Coed,N,N
Secondary School,Year 7 to Year 12,N,Coed,N,N
Secondary School,Year 11 to Year 12,N,Coed,N,N
Secondary School,Year 7 to Year 12,N,Coed,N,N
Secondary School,Year 11 to Year 12,N,Coed,N,N
Secondary School,Year 7 to Year 12,N,Coed,N,N
Secondary School,Intensive English Centre,N,Coed,N,N
Secondary School,Year 7 to Year 10,N,Coed,N,N
Secondary School,Year 7 to Year 12,N,Coed,N,N
Secondary School,Year 7 to Year 12,N,Coed,N,N
Secondary School,Year 7 to Year 12,N,Coed,N,N
Secondary School,Year 7 to Year 12,N,Coed,N,N
Secondary School,Year 7 to Year 12,N,Coed,N,N
Secondary School,Year 7 to Year 12,N,Coed,N,N
Secondary School,Year 7 to Year 12,N,Coed,N,N
Secondary School,Year 10 to Year 12,N,Coed,Y,N
Secondary School,Year 7 to Year 12,N,Coed,N,N
Secondary School,Year 7 to Year 12,N,Coed,N,N
Secondary School,Year 7 to Year 12,N,Coed,N,N
Secondary School,Year 7 to Year 12,N,Coed,N,N
Secondary School,Year 7 to Year 12,N,Coed,Y,N
Secondary School,Year 7 to Year 12,N,Coed,Y,N
Secondary School,Year 7 to Year 12,N,Coed,N,N
Secondary School,Year 7 to Year 12,N,Coed,Y,N
Secondary School,Year 7 to Year 12,N,Coed,Y,N
Secondary School,Year 7 to Year 12,N,Coed,Y,N
Secondary School,Year 7 to Year 12,N,Coed,N,N
Secondary School,Year 7 to Year 12,N,Coed,N,N
Secondary School,Year 7 to Year 12,N,Coed,N,N
Secondary School,Year 7 to Year 12,N,Coed,N,N
Secondary School,Year 7 to Year 12,N,Coed,N,N
Secondary School,Year 7 to Year 12,N,Coed,N,N
Secondary School,Year 7 to Year 12,N,Coed,N,N
Secondary School,Year 7 to Year 12,N,Coed,N,N
Secondary School,Year 7 to Year 12,N,Coed,N,N
Secondary School,Year 10 to Year 12,N,Coed,N,N
Secondary School,Year 10 to Year 12,N,Coed,N,N
Secondary School,Year 7 to Year 12,N,Coed,N,N
Secondary School,Year 7 to Year 12,N,Coed,N,N
Secondary School,Year 10 to Year 12,N,Coed,N,N
Secondary School,Year 7 to Year 12,N,Coed,N,N
Secondary School,Year 7 to Year 12,N,Coed,N,N
Secondary School,Year 7 to Year 12,N,Coed,N,N
Secondary School,Year 7 to Year 12,N,Coed,N,N
Secondary School,Year 7 to Year 12,N,Coed,N,N
Secondary School,Year 7 to Year 12,N,Coed,N,N
Secondary School,Year 7 to Year 12,N,Coed,N,N
Secondary School,Year 7 to Year 12,N,Coed,N,N
Secondary School,Year 7 to Year 12,N,Coed,N,N
Secondary School,Year 7 to Year 12,N,Coed,N,N
Secondary School,Year 7 to Year 12,N,Coed,N,N
Secondary School,Year 7 to Year 12,N,Coed,N,N
Secondary School,Year 7 to Year 12,N,Coed,N,N
Secondary School,Year 7 to Year 12,N,Coed,N,N
Secondary School,Year 7 to Year 12,N,Coed,N,N
Secondary School,Year 7 to Year 12,N,Coed,N,N
Secondary School,Year 7 to Year 12,N,Coed,N,N
Secondary School,Year 7 to Year 12,N,Coed,N,N
Secondary School,Year 7 to Year 12,N,Coed,N,N
Secondary School,Year 7 to Year 12,N,Coed,N,N
Secondary School,Year 7 to Year 12,N,Coed,N,N
Secondary School,Year 7 to Year 12,N,Coed,N,N
Secondary School,Year 7 to Year 12,N,Coed,N,N
Secondary School,Year 7 to Year 12,N,Coed,N,N
Secondary School,Year 7 to Year 10,N,Coed,N,N
Secondary School,Year 7 to Year 12,N,Coed,N,N
Secondary School,Year 7 to Year 12,N,Coed,N,N
Secondary School,Year 7 to Year 12,N,Coed,N,N
Secondary School,Year 7 to Year 12,N,Coed,N,N
Secondary School,Year 7 to Year 12,N,Coed,N,N
Secondary School,Year 7 to Year 12,N,Coed,N,N
Secondary School,Year 7 to Year 12,N,Coed,N,N
Secondary School,Year 7 to Year 12,N,Coed,N,N
Secondary School,Year 7 to Year 10,N,Coed,N,N
Secondary School,Year 7 to Year 12,N,Coed,N,N
Secondary School,Year 7 to Year 12,N,Coed,N,N
Secondary School,Year 7 to Year 12,N,Coed,N,N
Secondary School,Year 7 to Year 12,N,Coed,N,N
Secondary School,Year 7 to Year 12,N,Coed,N,N
Secondary School,Year 7 to Year 12,N,Coed,N,N
Secondary School,Year 7 to Year 12,N,Coed,N,N
Secondary School,Year 7 to Year 12,N,Coed,N,N
Secondary School,Year 7 to Year 12,N,Coed,N,N
Secondary School,Year 7 to Year 12,N,Coed,N,N
Secondary School,Year 7 to Year 12,N,Coed,N,N
Secondary School,Year 7 to Year 12,N,Coed,N,N
Secondary School,Year 7 to Year 12,N,Coed,N,N
Secondary School,Year 7 to Year 12,N,Coed,N,N
Secondary School,Year 7 to Year 12,N,Coed,N,N
Secondary School,Year 7 to Year 12,N,Coed,N,N
Secondary School,Year 7 to Year 12,N,Coed,N,N
Secondary School,Year 7 to Year 12,N,Coed,N,N
Secondary School,Year 7 to Year 12,N,Coed,N,N
Secondary School,Year 7 to Year 12,N,Coed,N,N
Secondary School,Year 7 to Year 12,N,Coed,N,N
Secondary School,Year 7 to Year 12,N,Coed,Y,N
Secondary School,Year 7 to Year 12,N,Coed,N,N
Secondary School,Year 7 to Year 12,N,Coed,N,N
Secondary School,Year 7 to Year 12,N,Coed,N,N
Secondary School,Year 7 to Year 12,N,Coed,N,N
Secondary School,Year 7 to Year 12,N,Coed,N,N
Secondary School,Year 7 to Year 12,N,Coed,N,N
Secondary School,Year 7 to Year 12,N,Coed,N,N
Secondary School,Year 7 to Year 10,N,Coed,N,N
Secondary School,Year 7 to Year 12,N,Coed,N,N
Secondary School,Year 7 to Year 12,N,Coed,Y,N
Secondary School,Year 7 to Year 12,N,Coed,N,N
Secondary School,Year 7 to Year 12,N,Coed,N,N
Secondary School,Year 7 to Year 12,N,Coed,N,N
Secondary School,Year 11 to Year 12,N,Coed,N,N
Secondary School,Year 7 to Year 12,N,Coed,N,N
Secondary School,Year 7 to Year 12,N,Coed,N,N
Secondary School,Year 7 to Year 12,N,Coed,N,N
Secondary School,Year 7 to Year 12,N,Coed,N,N
Secondary School,Year 7 to Year 9,N,Coed,Y,N
Secondary School,Year 7 to Year 12,N,Coed,N,N
Secondary School,Year 11 to Year 12,N,Coed,N,N
Secondary School,Year 7 to Year 12,N,Coed,N,N
Secondary School,Year 7 to Year 12,N,Coed,Y,N
Secondary School,Year 7 to Year 12,N,Coed,N,N
Secondary School,Year 7 to Year 12,N,Coed,N,N
Secondary School,Year 7 to Year 12,N,Coed,N,N
Secondary School,Year 7 to Year 12,N,Coed,N,N
Secondary School,Year 7 to Year 12,N,Coed,N,N
Secondary School,Year 7 to Year 12,N,Coed,N,N
Secondary School,Year 7 to Year 12,N,Coed,N,N
Secondary School,Year 7 to Year 10,N,Coed,N,N
Secondary School,Year 7 to Year 12,N,Coed,N,N
Secondary School,Year 7 to Year 12,N,Coed,N,N
Secondary School,Year 7 to Year 12,N,Coed,N,N
Secondary School,Year 7 to Year 10,N,Coed,N,N
Secondary School,Year 7 to Year 12,N,Coed,N,N
Secondary School,Year 7 to Year 12,N,Coed,N,N
Secondary School,Year 7 to Year 12,N,Coed,Y,N
Secondary School,Year 7 to Year 12,N,Coed,N,N
Secondary School,Year 7 to Year 12,N,Coed,Y,N
Secondary School,Year 7 to Year 12,N,Coed,N,N
Secondary School,Year 7 to Year 10,N,Coed,N,N
Secondary School,Year 7 to Year 12,N,Coed,N,N
Secondary School,Year 7 to Year 12,N,Coed,N,N
Secondary School,Year 7 to Year 12,N,Coed,N,N
Secondary School,Year 7 to Year 12,N,Coed,N,N
Secondary School,Year 7 to Year 12,N,Coed,N,N
Secondary School,Year 7 to Year 12,N,Coed,N,N
Secondary School,Year 7 to Year 12,N,Coed,N,N
Secondary School,Year 7 to Year 12,N,Coed,N,N
Secondary School,Year 7 to Year 12,N,Coed,N,N
Secondary School,Year 7 to Year 12,N,Coed,N,N
Secondary School,Year 7 to Year 10,N,Coed,N,N
Secondary School,Year 7 to Year 10,N,Coed,N,N
Secondary School,Year 7 to Year 12,N,Coed,N,N
Secondary School,Year 7 to Year 12,N,Coed,N,N
Secondary School,Year 7 to Year 12,N,Coed,N,N
Secondary School,Year 7 to Year 12,N,Coed,N,N
Secondary School,Year 7 to Year 9,N,Coed,N,N
Secondary School,Year 7 to Year 12,N,Coed,N,N
Secondary School,Year 7 to Year 12,N,Coed,N,N
Secondary School,Year 7 to Year 12,N,Coed,N,N
Secondary School,Year 7 to Year 12,N,Coed,N,N
Secondary School,Year 7 to Year 12,N,Coed,N,N
Secondary School,Year 7 to Year 12,N,Coed,Y,N
Secondary School,Year 7 to Year 12,N,Coed,N,N
Secondary School,Year 7 to Year 12,N,Coed,N,N
Secondary School,Year 7 to Year 12,N,Coed,N,N
Secondary School,Year 7 to Year 12,N,Coed,N,N
Secondary School,Year 7 to Year 12,N,Coed,N,N
Secondary School,Year 7 to Year 12,N,Coed,N,N
Secondary School,Year 7 to Year 12,N,Coed,N,N
Secondary School,Year 7 to Year 12,N,Coed,N,N
Secondary School,Year 7 to Year 12,N,Coed,N,N
Secondary School,Year 7 to Year 12,N,Coed,N,N
Secondary School,Year 7 to Year 12,N,Coed,N,N
Secondary School,Year 7 to Year 12,N,Coed,N,N
Secondary School,Year 7 to Year 10,N,Coed,N,N
Secondary School,Year 7 to Year 12,N,Coed,N,N
Secondary School,Year 7 to Year 12,N,Coed,N,N
Secondary School,Year 11 to Year 12,N,Coed,N,N
Secondary School,Year 7 to Year 12,N,Coed,N,N
Secondary School,Year 7 to Year 12,N,Coed,N,N
Secondary School,Year 7 to Year 12,N,Coed,N,N
Secondary School,Year 7 to Year 10,N,Coed,N,N
Secondary School,Year 7 to Year 12,N,Coed,N,N
Secondary School,Year 7 to Year 12,N,Coed,N,N
Secondary School,Year 7 to Year 12,N,Coed,N,N
Secondary School,Year 7 to Year 12,N,Coed,N,N
Secondary School,Year 7 to Year 12,N,Coed,N,N
Secondary School,Year 7 to Year 12,N,Coed,N,N
Secondary School,Year 7 to Year 12,N,Coed,N,N
Secondary School,Year 7 to Year 12,N,Coed,N,N
Secondary School,Year 7 to Year 12,N,Coed,N,N
